model_name,metric_name,score,Model,Index
deepseek,Levenshtein,0.4957599478147423,deepseek,157
deepseek,BLEU,0.28083793327648143,deepseek,158
deepseek,Cosine,0.6596266486791054,deepseek,158
deepseek,Levenshtein,0.6161273019846236,deepseek,158
deepseek,BLEU,0.0017711647614481842,deepseek,159
deepseek,Cosine,0.07918899780696813,deepseek,159
deepseek,Levenshtein,0.3793522267206477,deepseek,159
deepseek,BLEU,0.10201502091923016,deepseek,160
deepseek,Cosine,0.5101468811603179,deepseek,160
deepseek,Levenshtein,0.49550067011296195,deepseek,160
deepseek,BLEU,0.42256681980203714,deepseek,161
deepseek,Cosine,0.5594127813754912,deepseek,161
deepseek,Levenshtein,0.5730901401004493,deepseek,161
deepseek,BLEU,0.4838125778652694,deepseek,162
deepseek,Cosine,0.7917604427390188,deepseek,162
deepseek,Levenshtein,0.8693181818181819,deepseek,162
deepseek,BLEU,0.4269641734067198,deepseek,163
deepseek,Cosine,0.662046781559497,deepseek,163
deepseek,Levenshtein,0.567176692517292,deepseek,163
deepseek,BLEU,0.47302299689636657,deepseek,164
deepseek,Cosine,0.39300881748107763,deepseek,164
deepseek,Levenshtein,0.44665404040404044,deepseek,164
deepseek,BLEU,0.0,deepseek,165
deepseek,Cosine,0.0,deepseek,165
deepseek,Levenshtein,0.0078125,deepseek,165
deepseek,BLEU,0.0,deepseek,166
deepseek,Cosine,0.09807365584795512,deepseek,166
deepseek,Levenshtein,0.15128320576316978,deepseek,166
deepseek,BLEU,0.24079963721369377,deepseek,167
deepseek,Cosine,0.7078389626922774,deepseek,167
deepseek,Levenshtein,0.4949767213918157,deepseek,167
deepseek,BLEU,0.2819385864655639,deepseek,168
deepseek,Cosine,0.7847968795599354,deepseek,168
deepseek,Levenshtein,0.6977008231620778,deepseek,168
deepseek,BLEU,0.31134843098521964,deepseek,169
deepseek,Cosine,0.6653070506697161,deepseek,169
deepseek,Levenshtein,0.6144778043838645,deepseek,169
deepseek,BLEU,0.3194615151674427,deepseek,170
deepseek,Cosine,0.8009663494915243,deepseek,170
deepseek,Levenshtein,0.6998058252427184,deepseek,170
deepseek,BLEU,0.5680598297643872,deepseek,171
deepseek,Cosine,0.6281059120340992,deepseek,171
deepseek,Levenshtein,0.5741692360397397,deepseek,171
deepseek,BLEU,0.3037247602667217,deepseek,172
